name,code_is_runnable,bleu,rouge,functional_requirements,assets_only,scheduling,source
dbt,0.0,0.0645393440716646,0.1702127659574468,1.0,0.0,0.0,just_copy_airflow
duckdb,1.0,0.5050376747201545,0.6190476190476191,1.0,0.0,0.0,just_copy_airflow
etl_example,1.0,0.38835829233748576,0.49079754601226994,0.8,0.0,0.0,just_copy_airflow
example_astronauts,1.0,0.2426114690140728,0.42105263157894735,0.75,0.0,0.0,just_copy_airflow
list_files,1.0,0.08175883809052809,0.2486288848263254,1.0,0.0,0.0,just_copy_airflow
sensor,1.0,0.21976634685349858,0.3155216284987277,1.0,0.0,0.0,just_copy_airflow
snowflake_data_quality,0.0,0.2283318986472799,0.42237323575535807,0.0,0.0,0.0,just_copy_airflow
AVG,0.7142857142857143,0.24720055196209773,0.3839477588109564,0.7928571428571428,0.0,0.0,just_copy_airflow
dbt,0.0,1.0,1.0,0.0,1.0,0.0,human
duckdb,0.0,1.0,1.0,1.0,1.0,0.0,human
etl_example,1.0,1.0,1.0,0.6,1.0,0.0,human
example_astronauts,0.0,1.0,1.0,0.25,1.0,1.0,human
list_files,1.0,1.0,1.0,0.25,1.0,0.0,human
sensor,1.0,1.0,1.0,0.25,1.0,0.0,human
snowflake_data_quality,0.0,1.0,1.0,0.0,1.0,0.0,human
AVG,0.42857142857142855,1.0,1.0,0.33571428571428574,1.0,0.14285714285714285,human
dbt,0.0,0.069178538766235,0.22360248447204967,0.0,1.0,0.0,gpt_naive
duckdb,0.0,0.2969783957504767,0.46625766871165647,1.0,1.0,0.0,gpt_naive
etl_example,0.0,0.21695067660456285,0.443064182194617,0.2,1.0,0.0,gpt_naive
example_astronauts,0.0,0.2738589706883684,0.42662116040955633,0.0,1.0,0.0,gpt_naive
list_files,0.0,0.12538951329118217,0.33540372670807456,0.25,1.0,0.0,gpt_naive
sensor,0.0,0.17984466186147036,0.30707070707070705,1.0,1.0,0.0,gpt_naive
snowflake_data_quality,0.0,0.09048119199541525,0.2747952684258417,1.0,1.0,0.0,gpt_naive
AVG,0.0,0.1789545641368158,0.3538307425703575,0.4928571428571429,1.0,0.0,gpt_naive
dbt,1.0,0.06011980875966406,0.19310344827586207,0.3333333333333333,1.0,1.0,gpt_dspy
duckdb,1.0,0.409705493603466,0.5959780621572213,1.0,1.0,1.0,gpt_dspy
etl_example,1.0,0.2545337370942247,0.4313725490196079,0.2,1.0,1.0,gpt_dspy
example_astronauts,1.0,0.20970769453688146,0.35874439461883406,0.25,1.0,1.0,gpt_dspy
list_files,1.0,0.15357856361233507,0.39679358717434865,0.25,1.0,1.0,gpt_dspy
sensor,1.0,0.24626371494191454,0.4904632152588556,0.25,1.0,0.0,gpt_dspy
snowflake_data_quality,0.0,0.025897498184740363,0.2190378710337769,1.0,1.0,0.0,gpt_dspy
AVG,0.8571428571428571,0.19425807296188943,0.3836418753626437,0.46904761904761905,1.0,0.7142857142857143,gpt_dspy
